0,1,2,3,4,5,6,Cluster
2.6,166.0,113.0,11.9,13.6,48.9,0.7578,2
2.0,103.0,92.0,9.4,13.3,47.7,0.7255,2
2.2,131.0,114.0,9.0,11.9,54.0,0.7502,2
2.2,172.0,122.0,9.2,11.0,60.0,0.7867,2
1.6,131.0,116.0,6.5,11.2,59.6,0.7888,2
1.2,89.0,96.0,4.7,11.2,59.2,0.7848,2
1.2,62.0,77.0,3.6,11.3,56.8,0.7603,2
1.0,62.0,76.0,3.3,10.7,60.0,0.7702,2
0.9,45.0,60.0,2.3,10.7,59.7,0.7648,2
0.6,180.0,109.0,1.7,10.3,60.2,0.7517,2
1.8,21.0,34.0,1.3,10.1,60.5,0.7465,2
0.7,16.0,28.0,1.1,11.0,56.2,0.7366,2
0.7,34.0,48.0,1.6,10.5,58.1,0.7353,2
1.1,98.0,82.0,3.2,10.2,59.6,0.7417,2
2.0,174.0,112.0,8.0,10.8,57.4,0.7408,2
2.2,129.0,101.0,9.5,10.5,60.6,0.7691,2
1.7,112.0,98.0,6.3,10.8,58.4,0.7552,2
1.5,95.0,92.0,5.0,10.5,57.9,0.7352,2
1.6,104.0,95.0,5.2,9.5,66.8,0.7951,2
1.9,146.0,112.0,7.3,8.3,76.4,0.8393,2
2.9,207.0,128.0,11.5,8.0,81.1,0.8736,2
2.2,184.0,126.0,8.8,8.3,79.8,0.8778,2
2.2,193.0,131.0,8.3,9.7,71.2,0.8569,2
2.9,243.0,135.0,11.2,9.8,67.6,0.8185,2
4.8,281.0,151.0,20.8,10.3,64.2,0.8065,1
6.9,383.0,172.0,27.4,9.7,69.3,0.8319,1
6.1,351.0,165.0,24.0,9.6,67.8,0.8133,1
3.9,240.0,136.0,12.8,9.1,64.0,0.7419,2
1.5,94.0,85.0,4.7,8.2,63.4,0.6905,2
1.0,47.0,53.0,2.6,8.2,60.8,0.6657,2
1.7,122.0,97.0,5.9,8.3,58.5,0.6438,2
1.9,133.0,110.0,6.4,7.7,59.7,0.6308,2
1.4,82.0,91.0,4.1,7.1,61.8,0.6276,2
0.8,180.0,109.0,1.9,7.0,62.3,0.6261,2
1.8,21.0,32.0,1.1,6.1,65.9,0.6248,2
0.6,30.0,44.0,1.0,6.3,65.0,0.6233,2
0.8,56.0,71.0,1.8,6.8,62.9,0.6234,2
1.4,109.0,104.0,4.4,6.4,65.1,0.6316,2
4.4,307.0,141.0,17.9,7.3,63.1,0.6499,1
1.8,180.0,109.0,22.1,9.2,56.2,0.6561,2
3.1,187.0,122.0,14.0,13.2,41.7,0.632,2
2.7,216.0,143.0,11.6,14.3,38.4,0.6243,2
2.1,143.0,113.0,10.2,15.0,36.5,0.6195,2
2.5,160.0,116.0,11.0,16.1,34.5,0.6262,2
2.7,163.0,123.0,12.8,16.3,35.7,0.656,2
