N,P,K,temperature,humidity,ph,rainfall,actual_label,predicted_label
82,35,44,26.96656378,78.21047693,6.239011,169.8391177,jute,apple
24,70,21,19.14729038,45.3733757,5.517208078,132.7748215,pigeonpeas,apple
133,50,25,25.72180042,81.19666206,7.569454601,99.93100821,cotton,apple
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,apple
21,74,15,29.49096726,67.10604388,6.471862118,153.2504506,pigeonpeas,apple
104,25,51,28.96361426,93.88482153,6.469983276000002,23.56130173,muskmelon,apple
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,apple
131,38,19,23.86814008,75.68339729,6.814341946,90.4547185,cotton,apple
4,134,200,28.57828803,80.95628959,5.840256272,73.34232097,grapes,apple
8,28,30,25.51618488,94.33465411,6.015672239,135.1272491,coconut,apple
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,blackgram,apple
95,12,46,26.21667586,81.01009354,6.32281728,54.65423596,watermelon,apple
82,22,45,26.22338015,85.34866045,6.512196212,54.60159289,watermelon,apple
39,5,31,27.10134661,93.69979946,5.551963184,150.9502632,coconut,apple
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,chickpea,apple
5,13,37,22.34375696,89.7870345,5.648243648999999,103.3183074,pomegranate,apple
9,25,41,24.81530144,91.90842992,5.972714857000001,109.2853418,pomegranate,apple
0,26,31,25.0707247,95.02156793,5.547933273,192.9036306,coconut,apple
13,61,24,18.29783597,69.6897615,7.629910252999999,49.39111479,lentil,apple
36,27,26,26.58413917,95.78923137,6.25449571,171.6262299,coconut,apple
87,21,52,27.350629600000005,94.29119509999998,6.067665497999999,27.21244021,muskmelon,apple
22,36,16,30.58139475,50.77148138,8.18422855,64.58559639,mothbeans,apple
62,52,16,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize,apple
11,71,17,19.9191786,21.47324158,5.74644777,82.68554379,kidneybeans,apple
95,27,55,28.47212559,91.21322065,6.160414414,20.88620369,muskmelon,apple
82,25,51,24.31334971,87.47409052,6.074209622000001,48.11248366,watermelon,apple
21,9,40,24.51147697,90.64498715,5.956401828,105.6209954,pomegranate,apple
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,banana,apple
106,14,45,24.47018505,84.16390229,6.417011754,57.26773002,watermelon,apple
27,61,18,33.30711818,67.07780816,5.266227032,108.5090168,pigeonpeas,apple
68,52,49,24.42561272,92.27749066,6.577192175,63.35298768,papaya,apple
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,apple
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice,apple
100,35,36,25.31042337,72.01364411,6.346715209,190.5577618,jute,apple
89,52,42,23.09433785,81.45139295,6.14132902,196.6587013,jute,apple
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice,apple
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,chickpea,apple
61,41,35,24.97178693,79.47557931,6.842966478999998,195.7571622,jute,apple
31,62,52,33.7960155,93.00754254,6.99104104,182.026807,papaya,apple
7,79,23,19.6365349,19.68751084,5.821649914,96.65888933,kidneybeans,apple
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,chickpea,apple
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,apple
