N,P,K,temperature,humidity,ph,rainfall,actual_label,predicted_label
24,70,21,19.14729038,45.3733757,5.517208078,132.7748215,pigeonpeas,kidneybeans
8,28,30,25.51618488,94.33465411,6.015672239,135.1272491,coconut,pomegranate
27,61,18,33.30711818,67.07780816,5.266227032,108.5090168,pigeonpeas,mango
100,35,36,25.31042337,72.01364411,6.346715209,190.5577618,jute,coffee
0,12,7,20.18432263,90.65458473,6.969249676,116.8130969,orange,pomegranate
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,mothbeans,mango
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,jute
7,74,17,22.47253208,62.56532471,5.667419697000001,96.74706956,pigeonpeas,lentil
9,59,25,30.39321309,60.16299493,7.699200949,35.37493212,mothbeans,lentil
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,mothbeans,lentil
18,23,8,21.49118657,93.43949693,6.41354791,101.4819888,orange,pomegranate
38,60,20,29.84823072,60.63872613,7.491217102,46.80452595,lentil,blackgram
0,67,22,29.82112112,69.4073209,6.5937983870000005,51.56461082,lentil,blackgram
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,blackgram,lentil
