N,P,K,temperature,humidity,ph,rainfall,actual_label,predicted_label
100,35,36,25.31042337,72.01364411,6.346715209,190.5577618,jute,coffee
89,52,42,23.09433785,81.45139295,6.14132902,196.6587013,jute,rice
4,46,15,31.01274943,62.40392519,3.504752314,63.77192383,mothbeans,mango
21,63,22,25.09737391,67.72837887,6.859409487000001,74.61649888,blackgram,lentil
50,47,48,24.63676897,90.61964344,6.712772332999999,218.2299187,papaya,rice
39,64,53,23.012401800000006,91.07355541,6.598860305,208.3357976,papaya,jute
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,jute
38,60,20,29.84823072,60.63872613,7.491217102,46.80452595,lentil,blackgram
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas,kidneybeans
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,blackgram,lentil
91,41,37,24.48556447,83.20630007,6.132570522999999,192.2316221,jute,rice
